YEAR,VALUE,STREET_NUMBER,STREET_NAME,LATITUDE,LONGITUDE
2017,873000.0,8326,OSLER ST,49.210507499999999,-123.131270999999998
2017,1714000.0,2221,BONACCORD DR,49.210795400000002,-123.061378899999994
2017,1922000.0,6864,RALEIGH ST,49.221653000000003,-123.046965900000004
2017,1325000.0,2546,TRIUMPH ST,49.283621500000002,-123.053341399999994
2017,1106000.0,636,COMMERCIAL DR,49.278835200000003,-123.070095600000002
2017,1354000.0,2126,NANTON AVE,49.247627999999999,-123.153693000000004
2017,1335000.0,2943,16TH AVE E,49.255664500000002,-123.042905700000006
2017,1659000.0,4161,JOHN ST,49.247982200000003,-123.097684000000001
2017,4042000.0,2960,43RD AVE W,49.232534600000001,-123.171959799999996
2017,1430000.0,903,39TH AVE E,49.234994499999999,-123.086386500000003
2017,1410000.0,6328,COMMERCIAL ST,49.226875200000002,-123.067993599999994
2017,2809000.0,1851,36TH AVE W,49.239334399999997,-123.147984300000005
2017,1211000.0,3078,GEORGIA ST E,49.278028200000001,-123.039528099999998
2017,2113000.0,736,BROADWAY E,49.262166499999999,-123.088224299999993
2017,1108000.0,4289,SLOCAN ST,49.246268299999997,-123.050110099999998
2017,413000.0,933,HOMER ST,49.277973299999999,-123.119217599999999
2017,6157000.0,1001,KINGSWAY,49.254172500000003,-123.083396699999994
2017,2953000.0,4478,15TH AVE W,49.259022399999999,-123.208517400000005
2017,1394000.0,1825,TRIUMPH ST,49.283885300000001,-123.067329999999998
2017,4538000.0,4066,27TH AVE W,49.247842800000001,-123.195594700000001
2017,376000.0,3071,WILLOW ST,49.258012200000003,-123.122097100000005
2017,2031000.0,1080,7TH AVE W,49.265151000000003,-123.128477899999993
2017,2880000.0,2585,15TH AVE W,49.258667000000003,-123.164488000000006
2017,453000.0,937,HOMER ST,49.277958300000002,-123.119240199999993
2017,1084000.0,622,14TH AVE E,49.257727699999997,-123.090631999999999
2017,2761000.0,4938,ARBUTUS ST,49.241713900000001,-123.153152100000000
2017,3306000.0,2150,1ST AVE W,49.270546799999998,-123.153855600000000
2017,1225000.0,6356,FLEMING ST,49.226606799999999,-123.072705299999996
2017,1701000.0,2812,49TH AVE E,49.224481599999997,-123.047952800000004
2017,5270000.0,1379,DEVONSHIRE CRES,49.246625500000000,-123.136234400000006
